ECG1,ECG2,ECG3,ECG4,ECG5,ECG6,ECG7
-0.0666788731651773,-0.09534856719189107,-0.026547933492264503,-0.030430137592243844,0.3688016394747416,-0.04137834054561519,-0.1277254056564933
-0.06455111799165113,-0.09458537161671585,-0.03181538061374556,-0.046478073972666165,0.3707755680628217,-0.0454376081307863,-0.12599705104679784
-0.06423333637482578,-0.09260106312126028,-0.037030153264011795,-0.06727944973665662,0.3732160615899025,-0.04835111470401395,-0.12599705104679784
-0.06546301306601948,-0.09397481515657567,-0.037030153264011795,-0.07800515911496418,0.37490287329244365,-0.04776186618358589,-0.12668839289067602
-0.06806053236876572,-0.0947380107317509,-0.037609572447374714,-0.07800515911496418,0.3765896849949848,-0.041967589066043254,-0.12530570920291967
-0.0672868032147562,-0.09428009338664577,-0.03239479979710847,-0.06431362858280641,0.3767332434377543,-0.03672982444001602,-0.12513287374195012
-0.0672868032147562,-0.09382217604154063,-0.013800711458280357,-0.044690455742948235,0.37748692526229394,-0.035584063428072556,-0.12539212693340446
-0.06713482070236147,-0.09321161958140045,0.029128982581790218,-0.03758061051111556,0.3768768018805237,-0.038464833972387535,-0.12470078508952627
-0.06713482070236147,-0.0933642586964355,0.1016090549733695,-0.032827171127547426,0.37536943823144436,-0.04835111470401395,-0.12435511416758718
-0.06698283818996675,-0.09428009338664577,0.18283308958660732,-0.02746431643839364,0.37429274991067346,-0.05355614330112852,-0.12530570920291967
-0.06607094311559839,-0.0947380107317509,0.2402482632107508,-0.026854901132807984,0.37185225638359265,-0.059350420418671154,-0.12496003828098058
-0.06927639246792353,-0.09519592807685603,0.27680434623382927,-0.020313843519521924,0.3686580810319722,-0.06514469753621378,-0.12392302551516332
-0.06759076823954566,-0.09489064984678594,0.33016358557443237,-0.0030877042149673323,0.36485378229858145,-0.06458818504469839,-0.12530570920291967
-0.06759076823954566,-0.0947380107317509,0.3927935318488421,0.005240971628036656,0.3604034705727282,-0.06632319457706992,-0.12418227870661763
-0.06607094311559839,-0.0947380107317509,0.4560555717778295,-0.004875322444685261,0.35566604196133605,-0.0692039651213849,-0.12409586097613286
-0.06652689065278257,-0.09428009338664577,0.499564685001263,-0.022101461749239854,0.34956480814363405,-0.07270672021504061,-0.12496003828098058
-0.0691244099555288,-0.09458537161671585,0.5308533209028604,-0.036971195205529904,0.3430328989976236,-0.0755874907593556,-0.12478720282001105
-0.06789473326433511,-0.09519592807685603,0.553503343525229,-0.05005331043210202,0.3356755288056888,-0.07499824223892754,-0.12409586097613286
-0.06713482070236147,-0.09595912365203126,0.5679888231093019,-0.06788886504224227,0.32806693133890746,-0.07093897465375643,-0.12418227870661763
-0.0666788731651773,-0.09672231922720648,0.5894800073649445,-0.08454621672825025,0.31999176893312536,-0.0686474526298695,-0.12409586097613286
-0.06806053236876572,-0.09733287568734665,0.593535941648485,-0.10116294072721918,0.3106604701531105,-0.06805820410944144,-0.12331810140176991
-0.06652689065278257,-0.09656968011217143,0.6033860677656545,-0.11960791064294508,0.3010420544875567,-0.0692039651213849,-0.12392302551516332
-0.0672868032147562,-0.09489064984678594,0.6057037444991062,-0.13565584702336742,0.2909929634936945,-0.06687970706858531,-0.12392302551516332
-0.0666788731651773,-0.09504328896182099,0.5784183684098343,-0.14040928640693554,0.28044141795013927,-0.06573394605664186,-0.12271317728837651
-0.06821251488116045,-0.09626440188210134,0.5314327400862233,-0.1499161651740718,0.2694591970782756,-0.0692039651213849,-0.12331810140176991
-0.06652689065278257,-0.09626440188210134,0.49145281643418215,-0.16299828040064393,0.2578668528246417,-0.07499824223892754,-0.12271317728837651
-0.06607094311559839,-0.09565384542196116,0.4699616321785395,-0.1831902408590487,0.24598739168546896,-0.08197101639732629,-0.12176258225304401
-0.06759076823954566,-0.09550120630692611,0.45026137994420035,-0.1944847378559029,0.23392848249283435,-0.08544103546206934,-0.12219467090546787
